문화시설명,전시회,박물관,음악 및 무용 발표회,전통 예술 공연,연극 공연,영화 관람,대중 공연,운동 경기,가장 큰 카테고리,값,카테고리,빈도 수
광진교 8번가,0.5541921,0.5701223,0.7418346,0.7623253,0.7847103,0.7912227,0.7858058,0.7097175,영화 관람,0.7912227,,
강동구청,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,,
강동구립성내도서관,0.6108537,0.8157393,0.76403105,0.7565941,0.74650174,0.7661581,0.76081955,0.75314546,박물관,0.8157393,,
강동구립암사도서관,0.6108537,0.8157393,0.76403105,0.7565941,0.74650174,0.7661581,0.76081955,0.75314546,박물관,0.8157393,,
강동구립천호도서관,0.6108537,0.8157393,0.76403105,0.7565941,0.74650174,0.7661581,0.76081955,0.75314546,박물관,0.8157393,,
암사동선사유적박물관,0.62125313,0.6586364,0.8589277,0.88366735,0.8989359,0.9097742,0.8986608,0.8031007,영화 관람,0.9097742,,
강동도서관,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,,
강동어린이회관아이누리홀,0.62664324,0.6652807,0.8644366,0.88479066,0.8971485,0.9080337,0.8967525,0.81023467,영화 관람,0.9080337,,
한국점자도서관,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,,
강동아트센터,0.5592756,0.56794214,0.71131694,0.7276397,0.754068,0.7616074,0.75103605,0.6924629,영화 관람,0.7616074,,
서울시민대학 동남권캠퍼스,0.60763925,0.6452366,0.85443366,0.8782784,0.8962972,0.9053677,0.8959151,0.8053491,영화 관람,0.9053677,,
강동성심병원,0.6201661,0.64062274,0.8083464,0.80478644,0.7947889,0.8040883,0.810112,0.7536651,대중 공연,0.810112,,
강동구립해공도서관,0.6108537,0.8157393,0.76403105,0.7565941,0.74650174,0.7661581,0.76081955,0.75314546,박물관,0.8157393,,
고덕평생학습관,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,,
강북구청,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,,
송중문화정보센터,0.62258285,0.66535497,0.856742,0.8828116,0.89881164,0.9079815,0.8987928,0.80296016,영화 관람,0.9079815,,
강북솔샘문화정보센터,0.6243245,0.6749381,0.8591573,0.88106304,0.8943969,0.9056741,0.89466786,0.79917336,영화 관람,0.9056741,,
강북청소년문화정보도서관,0.6183433,0.67042613,0.8542479,0.87772685,0.8944298,0.90730923,0.89491624,0.80055237,영화 관람,0.90730923,,
강북웰빙스포츠센터,0.6085269,0.65821815,0.8569195,0.87756985,0.8933963,0.9071645,0.8934068,0.80656725,영화 관람,0.9071645,,
강북문화정보도서관,0.6083566,0.65811205,0.8541258,0.875899,0.89462304,0.9080201,0.8942306,0.8044642,영화 관람,0.9080201,,
북서울꿈의숲아트센터 드림갤러리,0.60132575,0.6466445,0.82871795,0.83052033,0.8587914,0.87425834,0.851954,0.7802997,영화 관람,0.87425834,,
북서울꿈의숲,0.6246136,0.6691788,0.86116326,0.881598,0.8985502,0.9039273,0.8971633,0.80437803,영화 관람,0.9039273,,
북서울꿈의숲아트센터 상상톡톡미술관,0.6063035,0.6479549,0.85099214,0.8735885,0.89469105,0.89995635,0.8916719,0.7974361,영화 관람,0.89995635,,
성신여자대학교 운정그린캠퍼스 대강당,0.6638525,0.646077,0.84181184,0.85531366,0.8601403,0.8615975,0.8647785,0.801443,대중 공연,0.8647785,,
북서울꿈의숲아트센터 퍼포먼스홀,0.60132575,0.6466445,0.82871795,0.83052033,0.8587914,0.87425834,0.851954,0.7802997,영화 관람,0.87425834,,
